"Part","Value","Device","Package","Description","AVAILABILITY","COMMENT","CONFIGURATION_POLE-THROW","CONTACT_CURRENT_RATING","DESCRIPTION","EU_ROHS_COMPLIANCE","MF","MP","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","POPULARITY","PRICE","PROD_ID","PURCHASE-URL","SPICEPREFIX","SWITCH_TYPE","VALUE",
"3.3V_DISC","","PINHD-1X2","1X02","PIN HEADER","","","","","","","","","","","","","","","","","","","",
"5V_DISC","","PINHD-1X2","1X02","PIN HEADER","","","","","","","","","","","","","","","","","","","",
"C1","100nF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","C","","",
"C2","10nF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","C","","",
"C3","470pF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","C","","",
"C4","1uF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","C","","",
"C5","0.1uF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","C","","",
"C6","4.7uF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","C","","",
"C7","0.1uF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","C","","",
"C8","10uF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","C","","",
"C9","10uF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","C","","",
"C10","10uF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","C","","",
"C11","0.1uF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","C","","",
"C12","0.1uF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","C","","",
"C13","0.1uF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","C","","",
"C14","0.1uF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","C","","",
"C15","1uF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","C","","",
"C16","0.1uF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","C","","",
